Procedimiento:,Motivo del llamado:,Tipo:,Área:,Subárea:,Estado:,Tiempo de respuesta:,Campo descripción:,Importante
DELIVERY,Orden Cancelada: Sin agenda para Delivery,Problema,Entel Cancela Orden,Sin agenda para Delivery,Pendiente + ctrl “s”,5 Días Hábiles,Número de orden: <br>RUT: <br>Nombre: <br>Teléfono: <br>Correo electrónico: <br>,NA
DELIVERY,Reclamo - NO se cumple fecha de entrega,Reclamo,Dificultad con la entrega,No se cumple fecha entrega,Pendiente + ctrl “s”,5 Días Hábiles,Venta atrasada. Cliente requiere su producto.<br>Fecha agendada en sistema: <br>Fecha contacto cliente: <br>Número de orden: <br>RUT: <br>Nombre: <br>Teléfono1: <br>Teléfono 2: <br>Correo electrónico: <br>Dirección: <br>,"Al revisar el estado de la orden, el ejecutivo identifica que la fecha agendada ya transcurrió, el operador logístico no ha realizado visitas por lo cual la orden se encuentra atrasada y el cliente indica que requiere su producto. En esta situación el cliente deberá esperar que el producto le llegue."
DERECHOS ARCO,Cliente desea ejercer los derechos ARCO sobre sus datos personales,NA,NA,NA,NA,NA,NA,"Para ejercer sus derechos de privacidad, cliente deberá ingresar al sitio <a href=""https://www.entel.cl/legales/derechos-privacidad/"" target=""_blank"" rel=""noopener noreferrer"" style=""text-decoration: underline; color: blue;"">Política de Privacidad de Clientes Entel</a>y completar el formulario que se encuentra disponible en el sitio<br><br>La Ley N° 19.628, sobre Protección De La Vida Privada, establece los derechos al tratamiento de la información personal y le otorga al dueño de los datos personales para que decida a quién proporciona su información, cómo y para qué. Estos derechos le permiten acceder, rectificar, cancelar y oponerse a la información del banco de datos de la organización y se conocen como derechos ARCO.<br><br>Nos importa el cuidado a la privacidad de los datos y es por esto que se encuentra disponible en el sitio entel.cl la <a href=""https://www.entel.cl/legales/derechos-privacidad/"" target=""_blank"" rel=""noopener noreferrer"" style=""text-decoration: underline; color: blue;"">Política de Privacidad de Clientes Entel</a><br><br><strong><span style=""color:#10069F;"">DERECHOS DE PRIVACIDAD</span></strong><br><br>Conoce los derechos que tienes sobre tus datos personales.<br><br><strong><span style=""color:#005CFF;"">✴️ ¿Qué son los derechos de privacidad?</span></strong><br>➖Son un conjunto de derechos que velan por la protección de tus datos personales, permitiéndote controlar tu información personal.<br>➖Los derechos de Privacidad son: Acceso, Rectificación, Cancelación y Oposición (ARCO).<br><br><strong><span style=""color:#005CFF;"">🗒️Derecho de acceso: </span></strong><br>➖Tienes derecho de solicitar y obtener de Entel, la confirmación acerca de si tus datos personales están siendo tratados, y en tal caso, acceder a dichos datos.<br>➖Si eres cliente y quieres ejercer este derecho puedes dirigirte a tu sitio privado Mi Entel, o a la App Entel, ingresando tu nombre de usuario y contraseña.<br><br><strong><span style=""color:#005CFF;"">🗒️Derecho de rectificación:</span></strong><br>➖Si la información que almacenamos es inexacta, desactualizada o incompleta, tienes derecho a solicitar su rectificación. Recuerda que es importante que mantengas tus datos actualizados, por ello informa o realiza directamente la actualización de tus datos a través de nuestros canales disponibles.<br><br><strong><span style=""color:#005CFF;"">🗒️Derecho de cancelación: </span></strong><br>➖Entel no procesará los datos más allá del tiempo necesario para la prestación de los servicios y el cumplimiento de las obligaciones legales. No obstante, en determinados casos, tendrás derecho a solicitar la eliminación de tus datos cuando ya no sean necesarios para la prestación de los servicios ni para el cumplimiento de obligaciones legales de Entel.<br><br><strong><span style=""color:#005CFF;"">🗒️Derecho de oposición: </span></strong><br>➖Tienes el derecho de oponerte al procesamiento de tus datos personales. En algunas circunstancias y en la medida que no afecte el cumplimiento de las obligaciones del contrato de suministros de servicio.<br><br>Si quieres suspender las comunicaciones publicitarias y/o promocionales, realizadas por Entel o por terceros en nombre de Entel, podrás hacerlo por separado por el mismo canal que recibiste la información, o puedes ingresar directamente <a href=""https://www.entel.cl/legales/derechos-privacidad/"" target=""_blank"" rel=""noopener noreferrer"" style=""text-decoration: underline; color: blue;""> Aquí.</a>"
DERIVACIÓN,Derivación a IVR: Reactivación 103,Consulta,Derivación,103 Opción Automatica,Cerrado + ctrl “s”,NA,Ejemplo: <br><br>Se indica a cliente que debe marcar el 103 para solicitar reactivación por 2 días con cargo a la boleta,Se tipifica desde One Touch
DERIVACIÓN,Derivación a tienda: Aceleración de cuotas de equipo,Consulta,Derivación,Tiendas,Cerrado + ctrl “s”,NA,Se indica a cliente que debe acercarse a tienda para Adelanto parcial de cuotas de un equipo,Se tipifica desde One Touch
DERIVACIÓN,Derivación a tienda: Cambio de equipo con Puntos Zona Entel,Consulta,Derivación,Tiendas,Cerrado + ctrl “s”,NA,Se indica a cliente que debe acercarse a tienda para Cambio de equipo usando Puntos Entel,Se tipifica desde One Touch
DERIVACIÓN,Derivación a tienda: Cambio de Número Gold,Consulta,Derivación,Tiendas,Cerrado + ctrl “s”,NA,Se indica a cliente que debe acercarse a tienda para Cambio de Número Gold,Se tipifica desde One Touch
DERIVACIÓN,Derivación a Canales Digitales: Compra de bolsa APP o Mi Entel,Consulta,Derivación,Canales Digitales,Cerrado + ctrl “s”,NA,Ejemplo: <br><br>Se indica a cliente que puede adquirir la bolsa desde la App o MiEntel,Se tipifica desde One Touch
DERIVACIÓN,Derivación a tienda: Devolución de producto,Consulta,Derivación,Tiendas,Cerrado + ctrl “s”,NA,Se indica a cliente que debe acercarse a tienda para Devolución de productos,Se tipifica desde One Touch
DERIVACIÓN,Derivación a Call: Entel Empresas,Consulta,Derivación,Empresas,Cerrado + ctrl “s”,NA,Ejemplo: <br><br>Se indica a cliente que debe marcar *106 (desde su línea empresa) o 600 3600 106 (desde otras líneas) para consulta por línea/s empresas,Se tipifica desde One Touch
DERIVACIÓN,Derivación a Call: Fonocompras,Consulta,Derivación,Fonocompras,Cerrado + ctrl “s”,NA,Ejemplo: <br><br>Se indica a cliente que debe marcar 800362505 para portabilidad o línea nueva,Se tipifica desde One Touch
DERIVACIÓN,Derivación a Call: Entel Hogar,Consulta,Derivación,Red Fija,Cerrado + ctrl “s”,NA,Ejemplo: <br><br>Se indica a cliente que debe marcar 107 (desde su red fija Entel) o 600 3600 103 (desde otras líneas) para consulta por servicio hogar,Se tipifica desde One Touch
DERIVACIÓN,Derivación a tienda,Consulta,Derivación,Tiendas,Cerrado + ctrl “s”,NA,Ejemplo: <br><br>Se indica a cliente que debe acercarse a tienda para regularizar su sitación,Se tipifica desde One Touch
DERIVACIÓN,Derivación a tienda: Regularizar deuda castigo,Información,Cliente,Estado de Solicitudes,Cerrado + ctrl “s”,NA,Móvil<br>Argumentación: Se indica a cliente que adeuda $X.XXX como monto castigado y que debe acercarse a tienda para regularizar su situación,Se tipifica desde One Touch<br><br>Recuerda que el procedimiento de Marca de Advertencia se actualizó para los casos de clientes que desconocen la Deuda Castigo.
DERIVACIÓN,Cliente solicita descuento Por LDI 123,NA,NA,NA,NA,NA,NA,DEBES DERIVAR al 223600107 (FONO CARRIER 123)
DERIVACIÓN,Cliente solicita cambio de simcard,NA,NA,NA,NA,NA,NA,Desde Marzo 2022 se debe derivar a TIENDA todo Cambio de Simcard
DESBLOQUEO ADULTO MAYOR,Desbloqueo: Por robo o hurto para Personas Mayores,Información,General,Info uso y config del servicio,Pendiente + ctrl “s”,5 Días Hábiles,Cliente solicita Desbloqueo de línea o equipo<br>Número contacto: ,"- Para realizar el desbloqueo por robo o hurto, debe existir un bloqueo por el mismo motivo en One Touch, que se indica como Número bloqueado por Robo o Número bloqueado por Hurto según sea el caso.<br/>- Sólo se podrá desbloquear el servicio si el cliente no tiene deuda con Entel, lo mismo aplica en el caso que el equipo sea propiedad de Entel o se encuentre bajo  modalidad de financiamiento interno, y el cliente tenga deuda, no se podrá desbloquear el equipo.<br/>- En caso de que el equipo sea propiedad del cliente, igual se le debe desbloquear a pesar de que tenga deuda en la línea.<br/>- La suspensión del servicio por robo o hurto no deja exento al cliente de pagar el cargo fijo de su plan.<br/><br/>Deberás informar al cliente:<br/><strong><span style=""color:#FD6C98;"">&quot;(Nombre cliente), estoy aquí para ayudarle. Con el fin de proteger tus datos, el desbloqueo de tu línea se realizará a través de un área especializada, así que ingresaré una solicitud para que lo contacten durante el día y puedan ayudarlo a desbloquear su equipo.&quot;</span></strong><br /><br />"
DESCONOCE SERVICIOS,Requerimiento anterior en curso DENTRO DE PLAZO en Desconocimiento de productos o servicios,Información,Cliente,Estado de Solicitudes,Cerrado + ctrl “s”,NA,Móvil <br>Argumentación:,"Se registra desde OT presionando el botón ubicado en la sección <strong><span style=""color:#005CFF;"">&quot;5 últimas solicitudes&quot;</span></strong> e incluyendo la información en el campo <strong><span style=""color:#005CFF;"">&quot;Descripción&quot;</span></strong>: <br><a href=""https://i.ibb.co/NZ3QSNp/image.png"" target=""_blank""> <img src=""https://i.ibb.co/NZ3QSNp/image.png"" width=""100%"" height=""auto"" /> </a>"
DESCONOCE SERVICIOS,Requerimiento anterior en curso FUERA DE PLAZO en Desconocimiento de productos o servicios,Información,Cliente,Estado de Solicitudes,Cerrado + ctrl “s”,NA,Móvil <br>Argumentación:,"Debes escalar estos casos a tu supervisor, para que éste por correo interno a Entel genere la alerta sobre el incumplimiento de plazos de 48 horas hábiles."
DESCONOCE SERVICIOS,Se informa motivo de Marca de Advertencia (Triángulo Rojo),Información,Cliente,Estado de Solicitudes,Cerrado + ctrl “s”,NA,Móvil <br>Argumentación:,NA
DESCONOCE SERVICIOS,Desconocimiento: Solo línea y esta se encuentra ACTIVA en sistema (Siebel/OT),Problema,Desconoce Servicios,Desconoce línea,Front: Cerrado/Acogido + ctrl “s” o JP: En Progreso + ctrl “s” o Back: Pendiente + ctrl “s”,"Front: Inmediato o JP: Mismo día que se asigna o Back: 48 Horas Hábiles""",Móvil CLIENTE DESCONOCE LINEA/S<br/>Estado: <br/>Rut cliente: <br/>Nombre: <br/>Número de contacto: <br/>Canal: <br/>Argumento: <br/>Correo: ,"IMPORTANTE: Para utilizar esta ruta el servicio debe estar ACTIVO en OT/Siebel<br>Indicar en el recuadro <strong>RESUMEN</strong> solo el número de la o las líneas que desconoce el cliente, NO DEBES REGISTRAR EL IMEI DE LOS EQUIPOS<br><br>1️⃣FRONT: <br>➖ El monto de la nota de crédito es inferior o igual al permitido para el Ejecutivo Front ($15.000). <br/>➖ Si el cliente tiene boleta emitida se deben realizar dos tickets: uno de “Desconoce Servicios” (que debe quedar en estado “Cerrado/Acogido”) sobre la boleta objetada y otro “Cierre de gestión - Back” para los consumos que aún no se han facturados (que debe quedar en estado “Pendiente”).<br><br>2️⃣JP: <br>➖ El monto de la nota de crédito es superior al permitido al ejecutivo ($15.001 - $100.000) y deberá escalar al Supervisor.<br/>➖ Si el cliente tiene boleta emitida se deben realizar dos tickets: uno de “Desconoce Servicios” (estado “Cerrado/Acogido”) sobre la boleta objetada y otro “Cierre de gestión - Back” para los consumos que aún no se han facturados (estado “Pendiente”.<br>➖ En estos casos el ejecutivo front crea los tickets que corresponden y el supervisor gestiona la impugnación.<br/><br>3️⃣ BACK: <br>➖ Excede el monto permitido tanto del ejecutivo como del supervisor (Mayor a $100.000)<br>➖ No tiene boleta emitida<br>➖ O corresponde a boletas anteriores, se deberá escalar al back de facturación"
DESCONOCE SERVICIOS,Desconocimiento: Solo equipo y este se encuentra ACTIVO en sistema (OT),Problema,Desconoce Servicios,Desconoce equipo,Front: Cerrado/Acogido + ctrl “s” o JP: En Progreso + ctrl “s” o Back: Pendiente + ctrl “s”,"Front: Inmediato o JP: Mismo día que se asigna o Back: 48 Horas Hábiles""",Móvil CLIENTE DESCONOCE EQUIPO/S<br>Estado: <br>Rut cliente: <br>Nombre: <br>Número de contacto: <br>Canal: <br>Argumento: <br>Correo: ,"IMPORTANTE: Para utilizar esta ruta el servicio debe estar ACTIVO en OT/Siebel<br> Indicar en el recuadro <strong>RESUMEN</strong> solo el IMEI del o los equipos que desconoce el cliente, NO DEBES REGISTRAR NÚMEROS DE LÍNEAS MÓVILES<br><br>1️⃣FRONT: <br>➖ El monto de la nota de crédito es inferior o igual al permitido para el Ejecutivo Front ($15.000). <br/>➖ Si el cliente tiene boleta emitida se deben realizar dos tickets: uno de “Desconoce Servicios” (que debe quedar en estado “Cerrado/Acogido”) sobre la boleta objetada y otro “Cierre de gestión - Back” para los consumos que aún no se han facturados (que debe quedar en estado “Pendiente”).<br><br>2️⃣JP: <br>➖ El monto de la nota de crédito es superior al permitido al ejecutivo ($15.001 - $100.000) y deberá escalar al Supervisor.<br/>➖ Si el cliente tiene boleta emitida se deben realizar dos tickets: uno de “Desconoce Servicios” (estado “Cerrado/Acogido”) sobre la boleta objetada y otro “Cierre de gestión - Back” para los consumos que aún no se han facturados (estado “Pendiente”.<br>➖ En estos casos el ejecutivo front crea los tickets que corresponden y el supervisor gestiona la impugnación.<br/><br>3️⃣ BACK: <br>➖ Excede el monto permitido tanto del ejecutivo como del supervisor (Mayor a $100.000)<br>➖ No tiene boleta emitida<br>➖ O corresponde a boletas anteriores, se deberá escalar al back de facturación"
DESCONOCE SERVICIOS,Desconocimiento: Línea y equipo y estos se encuentran ACTIVOS en sistema (Siebel/OT),Problema,Desconoce Servicios,Desconoce línea y equipo,Front: Cerrado/Acogido + ctrl “s” o JP: En Progreso + ctrl “s” o Back: Pendiente + ctrl “s”,"Front: Inmediato o JP: Mismo día que se asigna o Back: 48 Horas Hábiles""",Móvil CLIENTE DESCONOCE LÍNEA/S Y EQUIPO/S<br>Estado: <br>Rut cliente: <br>Nombre: <br>Número de contacto: <br>Canal: <br>Argumento: <br>Correo: ,"IMPORTANTE: Para utilizar esta ruta el servicio debe estar ACTIVO en OT/Siebel<br>Indicar en el recuadro <strong>RESUMEN</strong> EL NÚMERO DE LA LINEA E IMEI DE LOS EQUIPOS que desconoce el cliente<br><br>1️⃣FRONT: <br>➖ El monto de la nota de crédito es inferior o igual al permitido para el Ejecutivo Front ($15.000). <br/>➖ Si el cliente tiene boleta emitida se deben realizar dos tickets: uno de “Desconoce Servicios” (que debe quedar en estado “Cerrado/Acogido”) sobre la boleta objetada y otro “Cierre de gestión - Back” para los consumos que aún no se han facturados (que debe quedar en estado “Pendiente”).<br><br>2️⃣JP: <br>➖ El monto de la nota de crédito es superior al permitido al ejecutivo ($15.001 - $100.000) y deberá escalar al Supervisor.<br/>➖ Si el cliente tiene boleta emitida se deben realizar dos tickets: uno de “Desconoce Servicios” (estado “Cerrado/Acogido”) sobre la boleta objetada y otro “Cierre de gestión - Back” para los consumos que aún no se han facturados (estado “Pendiente”.<br>➖ En estos casos el ejecutivo front crea los tickets que corresponden y el supervisor gestiona la impugnación.<br/><br>3️⃣ BACK: <br>➖ Excede el monto permitido tanto del ejecutivo como del supervisor (Mayor a $100.000)<br>➖ No tiene boleta emitida<br>➖ O corresponde a boletas anteriores, se deberá escalar al back de facturación"
DESCONOCE SERVICIOS,Desconocimiento: Cierre de ciclo (boletas futuras por desfase),Problema,Cierre de gestión - Back,Descuentos (Doc. Pendiente),Pendiente + ctrl “s”,NA,Concepto: <br>Ciclo de Facturación del cliente: <br>Número de recurrencia del dscto: <br>Línea Afectada: <br>Plan Línea Afectada: <br>Vencimiento Boleta a dsctar: <br>Monto a dsctar: $,"Los tickets “Regularización back” que están pendientes se cierran al momento en que se genera la boleta y dependerá del ciclo de facturación del cliente. Esa es la razón por la cual estos tickets pueden superar las 48 horas o 5 días hábiles en “Pendiente”.<br><br>Luego de haber documentado la nota de crédito en Siebel, deberás realizar el cierre del ciclo del reclamo según ciclo de facturación; que corresponderá al descuento de los montos consumidos y que aún no han sido facturados."
DESCONOCE SERVICIOS,"Desconocimiento: Servicio o producto ya INACTIVO, boleta con menos de 60 días de EMISIÓN y monto menor o igual a $15.000 (Front)",Problema,Cobros adicionales,Otros servicios adicionales,Cerrado/Acogido + ctrl “s”,NA,"Móvil CLIENTE DESCONOCE LÍNEA/S, PORTA Y/O EQUIPO/S <br>Estado: <br>Rut cliente: <br>Nombre: <br>Número de contacto: <br>Canal: <br>Argumento:","Si el estado del ticket anterior es “Cerrado” y Subestado “Acogido”, el cliente no tiene las líneas móviles, los servicios hogar y/o los equipos en la sección “Activos”, está con marca de advertencia (triángulo rojo); indica que el proceso fue aprobado y se gestionó el requerimiento anterior (descuento correspondiente y baja de las líneas/servicios/equipos). Ante esta situación, procede a crear una nota de crédito por el cargo que le aparece en esta boleta (-$15.000) y que desconoce el cliente, utilizando la siguiente tipificación en Siebel"
DESCONOCE SERVICIOS,"Desconocimiento: Servicio o producto ya INACTIVO, boleta con menos de 60 días de EMISIÓN y monto menor o igual a $100.000 (JP)",Problema,Cobros adicionales,Otros servicios adicionales,En Progreso + ctrl “s”,Mismo día que se asigna,"Móvil CLIENTE DESCONOCE LÍNEA/S, PORTA Y/O EQUIPO/S <br>Estado: <br>Rut cliente: <br>Nombre: <br>Número de contacto: <br>Canal: <br>Argumento:","Si el estado del ticket anterior es “Cerrado” y Subestado “Acogido”, el cliente no tiene las líneas móviles, los servicios hogar y/o los equipos en la sección “Activos”, está con marca de advertencia (triángulo rojo); indica que el proceso fue aprobado y se gestionó el requerimiento anterior (descuento correspondiente y baja de las líneas/servicios/equipos). Ante esta situación, procede a crear una nota de crédito por el cargo que le aparece en esta boleta (-$15.000) y que desconoce el cliente, utilizando la siguiente tipificación en Siebel"
DESCONOCE SERVICIOS,"Desconocimiento: Servicio o producto ya INACTIVO, boleta con MÁS de 60 días de EMISIÓN o monto mayor a $100.000 (Back)",Problema,Cobros adicionales,Otros servicios adicionales,Pendiente + ctrl “s”,48 Horas Hábiles,"Móvil CLIENTE DESCONOCE LÍNEA/S, PORTAS Y/O EQUIPO/S <br>Estado: <br>Rut cliente: <br>Nombre: <br>Número de contacto: <br>Canal: <br>Argumento:","Si el estado del ticket anterior es “Cerrado” y Subestado “Acogido”, el cliente no tiene las líneas móviles, los servicios hogar y/o los equipos en la sección “Activos”, está con marca de advertencia (triángulo rojo); indica que el proceso fue aprobado y se gestionó el requerimiento anterior (descuento correspondiente y baja de las líneas/servicios/equipos). Ante esta situación, procede a crear una nota de crédito por el cargo que le aparece en esta boleta (+$15.000) y que desconoce el cliente, utilizando la siguiente tipificación en Siebel"
DESCONOCE SERVICIOS,"Cliente insiste en desconocimiento, pero tiene ticket anterior cerrado/no acogido",Información,Cliente,Estado de solicitudes,Cerrado,NA,Móvil <br> Argumentación:,"Cuando el ticket está en Estado <strong>Cerrado</strong>, Subestado <span style=""color:#cc0000;"">No Acogido</span> y el cliente insiste que no adquirió la línea o el equipo, <span style=""color:#005CFF;"">debes revisar lo descrito en el campo Resumen del ticket,</span> ahí sale el motivo por el cual el caso no fue acogido. Entrega esa información al cliente. <span style=""color:#FF3D00;"">No se debe ingresar un nuevo ticket.</span>"
DIFICULTAD DE AUTOATENCIÓN,No puede ingresar a la App o Mi Entel,Problema,Dificultad info APP/WEB,No puede ingresar (Login),Pendiente + ctrl “s”,5 Días Hábiles,Nº de Contacto adicional: <br>Nº de móvil con dificultad: <br>Contingencia: <br>Descartes Realizados: (desistalar e instalar el app)<br>Descripción: ,NA
DIFICULTAD DE AUTOATENCIÓN,No carga información en App o Mi Entel,Problema,Dificultad info APP/WEB,No carga información,Pendiente + ctrl “s”,5 Días Hábiles,Nº de Contacto adicional: <br>Nº de móvil con dificultad: <br>Contingencia: <br>Descartes Realizados: (desistalar e instalar el app)<br>Descripción: ,NA
DIFICULTAD DE AUTOATENCIÓN,No puede pagar o recargar en la App o Mi Entel,Problema,Dificultad info APP/WEB,No puede pagar/ recargar,Pendiente + ctrl “s”,5 Días Hábiles,Nº de Contacto adicional: <br>Nº de móvil con dificultad: <br>Contingencia: <br>Descartes Realizados: (desistalar e instalar el app)<br>Descripción: ,NA
DIFICULTAD DE AUTOATENCIÓN,No puede ingresar solicitud en la App o Mi Entel,Problema,Dificultad info APP/WEB,No puede ingresar solicitud,Pendiente + ctrl “s”,5 Días Hábiles,Nº de Contacto adicional: <br>Nº de móvil con dificultad: <br>Contingencia: <br>Descartes Realizados: (desistalar e instalar el app)<br>Descripción: ,NA
DIFICULTAD DE AUTOATENCIÓN,No puede obtener beneficios en la App o Mi Entel,Problema,Dificultad info APP/WEB,No puede obtener beneficios,Pendiente + ctrl “s”,5 Días Hábiles,Nº de Contacto adicional: <br>Nº de móvil con dificultad: <br>Contingencia: <br>Descartes Realizados: (desistalar e instalar el app)<br>Descripción: ,NA
DIFICULTAD DE AUTOATENCIÓN,Cliente solicita un RECLAMO por funcionamiento de App o Mi Entel,Reclamo,Dificultad info APP/WEB,Funcionamiento APP/WEB,Pendiente + ctrl “s”,5 Días Hábiles,Nº de Contacto adicional: <br>Nº de móvil con dificultad: <br>Contingencia: <br>Descartes Realizados: (desistalar e instalar el app)<br>Descripción: ,NA
ENTEL CONVIENE,Cliente solicita ayuda con contrataciones realizadas en el sitio Web Entel Conviene o con el uso del sitio Web,Problema,Entel Conviene,Entrega Equipos,Pendiente + ctrl “s”,5 Días Hábiles,Nombre: <br>RUT: <br>Fono de contacto: <br>,"<a href=""https://enteratepersonas.portal-comunicaciones.com/noticias/cr-atencion-asi-debes-atender-a-los-clientes-afinidad-movil-del-programa-entel-conviene"" target=""_blank"" rel=""noopener noreferrer"" style=""text-decoration: none; position: absolute; right: 0; top: 0;""><img src=""https://i.ibb.co/q9JVSqG/image-3-2.png"" alt=""Entérate"" style=""height: 1em; width: 5px; max-height: 5px; vertical-align: middle;"" /></a><br><br>➖Ayuda con contrataciones realizadas en el sitio web Entel Conviene <br>➖Ayuda con uso del sitio<br><br>Si al momento de estar atendiendo a un cliente Afinidad te encuentras con una casuística que debe ser solucionada por la Plataforma Comercial Afinidad Móvil, debes transferir en línea al cliente siempre que la plataforma se encuentre en horario de funcionamiento.<br><br>¿Cuando derivar por ticket?<br>➖Cuando no logras transferir la llamada luego de 3 intentos.<br>➖Cuando la “Plataforma de atención móvil Afinidad” esté fuera de horario. <br>➖Recuerda que los horarios de atención son: Lunes a Miércoles 8:45 a 18 horas - Jueves y Viernes de 8:45 a 16:45 horas"
ENTEL CONVIENE,Cliente solicita ayuda con compras de equipos y/o accesorios en el sitio Web Entel Conviene,Problema,Entel Conviene,Entrega Equipos,Pendiente + ctrl “s”,5 Días Hábiles,Nombre: <br>RUT: <br>Fono de contacto: <br>,"<a href=""https://enteratepersonas.portal-comunicaciones.com/noticias/cr-atencion-asi-debes-atender-a-los-clientes-afinidad-movil-del-programa-entel-conviene"" target=""_blank"" rel=""noopener noreferrer"" style=""text-decoration: none; position: absolute; right: 0; top: 0;""><img src=""https://i.ibb.co/q9JVSqG/image-3-2.png"" alt=""Entérate"" style=""height: 1em; width: 5px; max-height: 5px; vertical-align: middle;"" /></a><br><br>➖Ayuda con compras de Equipos y Accesorios en sitio Web Entel Conviene<br><br>Si al momento de estar atendiendo a un cliente Afinidad te encuentras con una casuística que debe ser solucionada por la Plataforma Comercial Afinidad Móvil, debes transferir en línea al cliente siempre que la plataforma se encuentre en horario de funcionamiento.<br><br>¿Cuando derivar por ticket?<br>➖Cuando no logras transferir la llamada luego de 3 intentos.<br>➖Cuando la “Plataforma de atención móvil Afinidad” esté fuera de horario. <br>➖Recuerda que los horarios de atención son: Lunes a Miércoles 8:45 a 18 horas - Jueves y Viernes de 8:45 a 16:45 horas<br><br>"
ENTEL CONVIENE,"Cliente solicita ayuda con descuentos NO aplicados, Retención y/o dudas generales con el convenio Entel Conviene",Problema,Entel Conviene,Entrega Equipos,Pendiente + ctrl “s”,5 Días Hábiles,Nombre: <br>RUT: <br>Fono de contacto: <br>,"<a href=""https://enteratepersonas.portal-comunicaciones.com/noticias/cr-atencion-asi-debes-atender-a-los-clientes-afinidad-movil-del-programa-entel-conviene"" target=""_blank"" rel=""noopener noreferrer"" style=""text-decoration: none; position: absolute; right: 0; top: 0;""><img src=""https://i.ibb.co/q9JVSqG/image-3-2.png"" alt=""Entérate"" style=""height: 1em; width: 5px; max-height: 5px; vertical-align: middle;"" /></a><br><br>➖Ayuda con descuentos no aplicados, retención y dudas generales con el convenio<br><br>Si al momento de estar atendiendo a un cliente Afinidad te encuentras con una casuística que debe ser solucionada por la Plataforma Comercial Afinidad Móvil, debes transferir en línea al cliente siempre que la plataforma se encuentre en horario de funcionamiento.<br><br>¿Cuando derivar por ticket?<br>➖Cuando no logras transferir la llamada luego de 3 intentos.<br>➖Cuando la “Plataforma de atención móvil Afinidad” esté fuera de horario. <br>➖Recuerda que los horarios de atención son: Lunes a Miércoles 8:45 a 18 horas - Jueves y Viernes de 8:45 a 16:45 horas"
ERROR CARRITO DE COMPRAS Y ÓRDENES EN PROGRESO,Crear solicitud de Error en Carrito de Compras,Problema,Mantención,Dificultades One Click,En Progreso + ctrl “s”,NA,Número de móvil: <br>Rut: <br>Breve descripción del escalamiento: <br>Error escrito en texto: ,NA
ERROR CARRITO DE COMPRAS Y ÓRDENES EN PROGRESO,Crear solicitud de Orden en Progreso,Problema,Mantención,Dificultades con Ordenes,En Progreso + ctrl “s”,NA,Orden en progreso/ error/ completado (describir según el caso) <br>- Número Orden: <br>- Número de activo: <br>- Tipo de Orden: (se refiere a la solicitud del cliente ejemplo portabilidad) <br>- Rut cliente: <br>,NA
ESCALAMIENTOS BACK INTERNO,Re-Escalamiento Ticket PNR vencido (72 hrs hábiles),NA,NA,NA,NA,NA,Fecha Comprobante de Pago: <br>Folio Boleta/Factura (afecta): <br>Medio de Pago: Banco BCI Boton<br>Móvil: <br>Nombre: <br>RUT: <br>Número de Transacción: <br>Saldo Cuenta Corriente:,"Se escala a través del formulario y deberás adjuntar el comprobante de pago del cliente<br><br><a href=""https://forms.gle/8NCDu5X6QoN2NXvJ9"" target=""_blank"" rel=""noopener noreferrer"" style=""text-decoration: underline; color: blue;""> Ingrésalo Aquí</a>"
ESCALAMIENTOS BACK INTERNO,Orden en Progreso (Error/Fuera de Plazo),NA,NA,NA,NA,NA,Nombre: <br>RUT: <br>N° de Orden: <br>Número de SS de siebel: <br>Fecha de Ingreso del Ticket: <br><br>,"Se escala a través del formulario<br><br><a href=""https://forms.gle/8NCDu5X6QoN2NXvJ9"" target=""_blank"" rel=""noopener noreferrer"" style=""text-decoration: underline; color: blue;""> Ingrésalo Aquí</a>"
ESCALAMIENTOS BACK INTERNO,Delivery (SS en Siebel Fuera de Plazo),NA,NA,NA,NA,NA,Nombre: <br>RUT: <br>N° de Solicitud: <br>Ruta del Ticket (Tipo/Área/Subárea): <br>Fecha de Ingreso del Ticket: <br><br>,"Se escala a través del formulario<br><br><a href=""https://forms.gle/8NCDu5X6QoN2NXvJ9"" target=""_blank"" rel=""noopener noreferrer"" style=""text-decoration: underline; color: blue;""> Ingrésalo Aquí</a>"
ESCALAMIENTOS BACK INTERNO,Re- Escalamiento Devolución de Valores,NA,NA,NA,NA,NA,Número de orden por la cual solicita devolución: <br>Comprobante de pago: <br>Cartola donde no figure la devolución: <br><br>,"Este escalamiento aplica solo en casos que ya fueron escalados por SIEBEL y no han tenido respuesta (fuera de plazo) o ha sido rechazada la gestión. Para escalamiento por SIEBEL debes filtrar por VENTA WEB en este panel. Se escala a través del formulario y deberás adjuntar el comprobante de pago y la cartola del banco que evidencia la no devolución<br><br><a href=""https://forms.gle/8NCDu5X6QoN2NXvJ9"" target=""_blank"" rel=""noopener noreferrer"" style=""text-decoration: underline; color: blue;""> Ingrésalo Aquí</a>"
